Date,Retail_Department,Service_Type,Region,Usage_Units,Cost_INR
2025-01-01,Fashion,Storage,West,336.0,2147.48
2025-01-01,Fashion,Network,East,322.0,1311.49
2025-01-01,Home,Compute,East,580.0,20743.44
2025-01-01,Grocery,Storage,South,579.0,3333.42
2025-01-01,Electronics,Network,South,641.0,2304.15
2025-01-01,Electronics,AI/ML,Central,1095.0,232121.49
2025-01-01,Home,AI/ML,South,2584.0,598127.29
2025-01-01,Fashion,Storage,East,861.0,5313.26
2025-01-01,Sports,Logging,Central,1013.0,2983.8
2025-01-01,Home,Storage,North,496.0,2778.56
2025-01-01,Toys,AI/ML,Central,485.0,99863.61
2025-01-01,Home,Logging,South,840.0,2833.32
2025-01-01,Toys,Storage,Central,346.0,1801.66
2025-01-01,Electronics,Logging,South,67.0,199.48
2025-01-01,Toys,Storage,North,1695.0,11212.21
2025-01-01,Grocery,Network,South,485.0,2064.68
2025-01-01,Sports,Database,South,455.0,24184.06
2025-01-01,Sports,AI/ML,Central,729.0,169302.34
2025-01-01,Toys,Monitoring,North,543.0,4294.98
2025-01-01,Home,Logging,South,750.0,2304.69
2025-01-01,Sports,Logging,West,541.0,1429.65
2025-01-01,Home,Monitoring,East,691.0,5950.82
2025-01-02,Electronics,Network,East,570.0,2474.54
2025-01-02,Home,CDN,South,340.0,1758.28
2025-01-02,Beauty,AI/ML,West,1085.0,224828.69
2025-01-02,Toys,Network,East,344.0,1239.56
2025-01-02,Beauty,Monitoring,South,310.0,2392.7
2025-01-02,Toys,Logging,North,1186.0,3660.46
2025-01-02,Beauty,Network,North,656.0,2618.76
2025-01-02,Sports,Monitoring,East,328.0,2375.92
2025-01-02,Beauty,Logging,North,371.0,1047.03
2025-01-02,Beauty,Database,South,1148.0,61765.43
2025-01-02,Home,Logging,South,570.0,1718.72
2025-01-02,Toys,Database,West,843.0,46140.05
2025-01-02,Electronics,Logging,South,543.0,1814.3
2025-01-02,Grocery,Network,North,459.0,1740.73
2025-01-02,Grocery,Network,South,1022.0,4506.26
2025-01-02,Grocery,Logging,North,382.0,1193.32
2025-01-02,Fashion,Network,Central,830.0,3235.8
2025-01-02,Fashion,Monitoring,West,886.0,7105.08
2025-01-02,Fashion,Storage,North,1272.0,7840.4
2025-01-02,Grocery,Compute,North,648.0,22192.57
2025-01-02,Pharmacy,Storage,North,464.0,2841.15
2025-01-02,Toys,CDN,North,1122.0,5814.92
2025-01-02,Fashion,Compute,Central,497.0,14679.48
2025-01-02,Home,Network,North,1701.0,6827.68
2025-01-02,Beauty,CDN,West,763.0,3781.83
2025-01-02,Pharmacy,Monitoring,South,172.0,1507.65
2025-01-02,Home,Logging,North,526.0,1804.57
2025-01-02,Electronics,Storage,East,252.0,1747.27
2025-01-02,Electronics,Logging,West,458.0,1460.34
2025-01-02,Electronics,Storage,North,1060.0,7238.13
2025-01-02,Home,Logging,West,910.0,2820.02
2025-01-02,Beauty,Monitoring,West,444.0,3995.65
2025-01-02,Home,Monitoring,South,660.0,4940.8
2025-01-02,Home,AI/ML,East,550.0,113327.42
2025-01-02,Pharmacy,AI/ML,East,621.0,130682.79
2025-01-02,Electronics,CDN,East,564.0,2691.78
2025-01-02,Sports,Logging,West,919.0,2686.88
2025-01-02,Fashion,AI/ML,East,1120.0,218035.2
2025-01-02,Grocery,Network,North,363.0,1512.37
2025-01-02,Home,AI/ML,South,602.0,127579.35
2025-01-02,Pharmacy,CDN,North,1221.0,6255.79
2025-01-02,Beauty,Network,Central,814.0,3102.93
2025-01-02,Sports,Compute,East,727.0,21203.08
2025-01-02,Sports,Storage,South,1399.0,8227.22
2025-01-02,Sports,CDN,East,328.0,1630.42
2025-01-02,Electronics,AI/ML,East,382.0,70672.57
2025-01-02,Sports,Logging,East,1861.0,5677.68
2025-01-02,Beauty,AI/ML,South,282.0,66449.25
2025-01-02,Sports,Monitoring,East,488.0,3292.08
2025-01-02,Toys,Database,Central,576.0,32527.47
2025-01-02,Grocery,Logging,North,817.0,2315.74
2025-01-02,Sports,Monitoring,West,3160.0,28498.38
2025-01-02,Beauty,Database,East,875.0,45723.4
2025-01-02,Pharmacy,Compute,East,445.0,12454.57
2025-01-02,Home,CDN,North,504.0,2449.08
2025-01-02,Pharmacy,Logging,Central,408.0,976.15
2025-01-02,Pharmacy,Database,West,487.0,27864.65
2025-01-02,Sports,AI/ML,North,789.0,146134.36
2025-01-02,Toys,Database,West,1834.0,97916.41
2025-01-02,Grocery,AI/ML,Central,613.0,135344.83
2025-01-02,Toys,Compute,Central,539.0,19664.56
2025-01-02,Toys,Monitoring,West,479.0,4398.0
2025-01-02,Fashion,Monitoring,East,1434.0,11126.67
2025-01-02,Pharmacy,Compute,North,188.0,7348.36
2025-01-02,Fashion,Logging,East,882.0,2520.41
2025-01-02,Electronics,Database,South,548.0,31870.66
2025-01-02,Grocery,Storage,East,696.0,4342.39
2025-01-02,Home,CDN,Central,1043.0,5112.95
2025-01-02,Pharmacy,Database,North,1305.0,68119.99
2025-01-02,Sports,Storage,Central,661.0,4136.04
2025-01-02,Toys,Compute,North,622.0,23581.01
2025-01-02,Toys,Logging,North,854.0,2569.53
2025-01-02,Electronics,Storage,Central,332.0,1932.88
2025-01-02,Home,Database,East,2789.0,164181.47
2025-01-02,Electronics,Database,North,302.0,17039.68
2025-01-02,Electronics,AI/ML,East,566.0,117707.45
2025-01-02,Pharmacy,AI/ML,South,385.0,79727.54
2025-01-02,Pharmacy,Logging,West,512.0,1749.69
2025-01-02,Toys,CDN,West,555.0,2673.15
2025-01-02,Grocery,Compute,South,876.0,27483.19
2025-01-02,Electronics,Monitoring,East,1017.0,8214.66
2025-01-02,Fashion,Storage,North,2600.0,17125.67
2025-01-02,Sports,Logging,North,1238.0,4047.38
2025-01-02,Pharmacy,AI/ML,North,454.0,98240.36
2025-01-02,Electronics,Database,South,523.0,32176.73
2025-01-02,Fashion,Logging,Central,268.0,856.44
2025-01-02,Sports,Monitoring,Central,478.0,3752.67
2025-01-02,Beauty,Network,East,1394.0,6063.23
2025-01-02,Sports,Logging,East,846.0,2731.59
2025-01-02,Beauty,Logging,South,1190.0,2710.45
2025-01-02,Grocery,Storage,Central,347.0,2100.52
2025-01-02,Electronics,Database,South,826.0,45547.87
2025-01-02,Beauty,Storage,North,1359.0,7790.16
2025-01-02,Home,Network,North,1466.0,6584.71
2025-01-02,Electronics,Monitoring,West,1026.0,8968.89
2025-01-02,Pharmacy,AI/ML,South,598.0,142902.37
2025-01-02,Fashion,Compute,Central,102.0,3466.42
2025-01-02,Electronics,Monitoring,West,379.0,2740.58
2025-01-02,Fashion,Logging,West,621.0,1509.66
2025-01-02,Home,AI/ML,East,1188.0,274512.35
2025-01-02,Home,Logging,North,2066.0,6098.09
2025-01-02,Toys,Compute,North,501.0,15714.5
2025-01-02,Home,Compute,Central,1331.0,43407.65
2025-01-02,Electronics,Network,East,141.0,539.18
2025-01-02,Beauty,Network,North,1398.0,5790.22
2025-01-02,Pharmacy,Compute,North,429.0,12268.38
2025-01-02,Electronics,Storage,Central,906.0,4869.11
2025-01-02,Sports,CDN,Central,684.0,3141.82
2025-01-02,Pharmacy,Monitoring,East,135.0,1066.52
2025-01-02,Grocery,Storage,Central,864.0,5684.76
2025-01-02,Fashion,AI/ML,West,254.0,58041.77
2025-01-02,Toys,Compute,Central,941.0,29335.54
2025-01-02,Fashion,Logging,North,555.0,1744.84
2025-01-02,Electronics,Compute,Central,281.0,9030.12
2025-01-02,Beauty,Database,Central,380.0,22138.66
2025-01-02,Grocery,Logging,Central,859.0,2287.37
2025-01-02,Electronics,Compute,South,1068.0,34286.66
2025-01-02,Electronics,Storage,North,765.0,3972.57
2025-01-02,Home,Logging,South,340.0,1059.17
2025-01-02,Beauty,Compute,East,894.0,27344.01
2025-01-02,Grocery,Database,Central,1086.0,64198.68
2025-01-02,Fashion,Compute,West,699.0,20799.55
2025-01-02,Sports,Network,South,928.0,3608.48
2025-01-02,Fashion,CDN,North,1499.0,8105.09
2025-01-02,Home,Network,South,2436.0,8934.82
2025-01-02,Toys,Network,North,476.0,1940.54
2025-01-02,Sports,Compute,North,394.0,11082.29
2025-01-02,Electronics,Network,Central,435.0,1753.55
2025-01-02,Fashion,AI/ML,North,648.0,133478.65
2025-01-02,Electronics,Storage,South,1368.0,8580.83
2025-01-02,Beauty,AI/ML,Central,212.0,45170.67
2025-01-02,Electronics,AI/ML,South,459.0,110011.98
2025-01-02,Toys,Logging,South,820.0,2449.25
2025-01-02,Pharmacy,Monitoring,West,1014.0,7409.48
2025-01-02,Home,Database,North,285.0,16998.04
2025-01-02,Toys,Monitoring,West,626.0,4385.01
2025-01-02,Electronics,AI/ML,Central,431.0,82661.87
2025-01-02,Electronics,CDN,South,1470.0,6929.04
2025-01-02,Beauty,CDN,South,1633.0,9237.51
2025-01-02,Grocery,Monitoring,Central,1944.0,14028.26
2025-01-02,Fashion,Monitoring,Central,178.0,1481.05
2025-01-02,Fashion,Network,West,2475.0,10827.73
2025-01-02,Sports,CDN,East,777.0,3506.83
2025-01-02,Pharmacy,Monitoring,North,470.0,3292.53
2025-01-02,Fashion,Monitoring,North,304.0,2287.8
2025-01-02,Home,Network,Central,812.0,2848.04
2025-01-02,Beauty,Logging,North,787.0,2409.78
2025-01-02,Pharmacy,AI/ML,Central,679.0,151106.31
2025-01-02,Toys,CDN,Central,1057.0,5582.49
2025-01-02,Electronics,Network,West,360.0,1416.88
2025-01-02,Electronics,Network,South,307.0,1324.18
2025-01-02,Sports,Database,Central,685.0,38625.06
2025-01-02,Home,AI/ML,East,1634.0,317534.67
2025-01-02,Grocery,CDN,West,633.0,2844.92
2025-01-02,Electronics,CDN,Central,250.0,1206.64
2025-01-02,Fashion,Logging,East,793.0,2422.8
2025-01-02,Pharmacy,CDN,South,1518.0,7705.83
2025-01-02,Home,Network,North,636.0,2429.06
2025-01-02,Toys,Logging,North,322.0,1018.22
2025-01-03,Fashion,AI/ML,West,601.0,138713.75
2025-01-03,Sports,Compute,North,1168.0,36866.49
2025-01-03,Fashion,Storage,East,1163.0,7236.63
2025-01-03,Pharmacy,Storage,Central,638.0,3914.62
2025-01-03,Electronics,Logging,North,566.0,1840.51
2025-01-03,Home,AI/ML,West,639.0,131097.45
2025-01-03,Toys,CDN,South,846.0,4065.59
2025-01-03,Fashion,Network,East,3483.0,15092.93
2025-01-03,Beauty,Database,South,406.0,22741.21
2025-01-03,Toys,CDN,South,386.0,1855.23
2025-01-03,Home,AI/ML,East,532.0,88799.93
2025-01-03,Fashion,Logging,West,227.0,720.84
2025-01-03,Beauty,Monitoring,South,956.0,8594.27
2025-01-03,Sports,Monitoring,East,384.0,3078.74
2025-01-03,Grocery,Network,South,484.0,2197.97
2025-01-03,Grocery,AI/ML,South,355.0,77825.04
2025-01-03,Electronics,Storage,North,1065.0,6199.79
2025-01-03,Toys,Monitoring,North,475.0,3547.54
2025-01-03,Pharmacy,Storage,Central,659.0,3973.93
2025-01-03,Toys,Database,West,427.0,22741.25
2025-01-03,Grocery,Database,North,811.0,43127.14
2025-01-03,Home,AI/ML,West,198.0,39408.76
2025-01-03,Electronics,AI/ML,East,806.0,172735.99
2025-01-03,Sports,AI/ML,West,957.0,197879.16
2025-01-03,Grocery,AI/ML,East,279.0,67361.2
2025-01-03,Home,Logging,East,238.0,660.7
2025-01-03,Electronics,Monitoring,East,901.0,8356.1
2025-01-03,Toys,Database,East,1194.0,62283.14
2025-01-03,Beauty,Storage,North,2221.0,13521.88
2025-01-03,Home,Database,North,629.0,31255.77
2025-01-03,Fashion,Network,North,889.0,3328.58
2025-01-03,Fashion,Network,South,1076.0,3893.67
2025-01-03,Fashion,Compute,West,713.0,24849.08
2025-01-03,Fashion,AI/ML,West,370.0,75317.0
2025-01-03,Home,Database,West,1016.0,65103.31
2025-01-03,Pharmacy,Logging,North,849.0,2519.7
2025-01-03,Fashion,Storage,Central,431.0,2870.09
2025-01-03,Sports,Database,East,745.0,41676.07
2025-01-03,Home,AI/ML,West,715.0,133032.84
2025-01-03,Toys,Database,North,946.0,55410.72
2025-01-03,Fashion,Compute,West,424.0,13928.08
2025-01-03,Beauty,Storage,Central,291.0,1717.13
2025-01-03,Pharmacy,Compute,North,737.0,25257.57
2025-01-03,Beauty,Monitoring,Central,648.0,5561.42
2025-01-03,Sports,Database,Central,548.0,34817.87
2025-01-03,Beauty,Compute,Central,649.0,21978.73
2025-01-03,Electronics,CDN,East,805.0,3847.82
2025-01-03,Home,Compute,East,750.0,25688.16
2025-01-03,Fashion,AI/ML,North,1012.0,232495.19
2025-01-03,Fashion,Storage,West,414.0,2669.84
2025-01-03,Grocery,CDN,East,582.0,3056.28
2025-01-03,Toys,Logging,South,360.0,1061.47
2025-01-03,Home,Storage,North,259.0,1817.42
2025-01-03,Grocery,AI/ML,South,1204.0,245897.53
2025-01-03,Fashion,Storage,South,653.0,4273.33
2025-01-03,Pharmacy,Monitoring,North,1180.0,9443.68
2025-01-03,Fashion,CDN,Central,316.0,1475.13
2025-01-03,Toys,Database,Central,1126.0,56449.7
2025-01-03,Beauty,Monitoring,North,286.0,2397.78
2025-01-03,Electronics,Database,South,378.0,24054.23
2025-01-03,Beauty,Monitoring,East,770.0,6417.4
2025-01-03,Beauty,Storage,North,609.0,4078.9
2025-01-03,Home,Monitoring,North,735.0,5655.09
2025-01-03,Pharmacy,Monitoring,Central,921.0,7029.17
2025-01-03,Beauty,Compute,Central,199.0,7465.41
2025-01-03,Fashion,Logging,East,223.0,720.43
2025-01-03,Fashion,Database,East,473.0,29374.13
2025-01-03,Toys,Compute,South,905.0,26184.07
2025-01-03,Pharmacy,CDN,West,1267.0,6090.08
2025-01-03,Grocery,Storage,West,388.0,1931.94
2025-01-03,Toys,Network,North,802.0,2655.3
2025-01-03,Grocery,Logging,East,790.0,2391.54
2025-01-03,Fashion,Compute,East,940.0,27953.57
2025-01-03,Electronics,Logging,East,795.0,2402.32
2025-01-03,Toys,Compute,Central,644.0,19218.24
2025-01-03,Electronics,AI/ML,South,1521.0,285490.11
2025-01-03,Toys,CDN,Central,490.0,2805.52
2025-01-03,Fashion,Monitoring,West,581.0,4960.29
2025-01-03,Toys,AI/ML,West,294.0,61427.4
2025-01-03,Pharmacy,CDN,South,659.0,3316.59
2025-01-03,Toys,Compute,North,782.0,25611.53
2025-01-03,Toys,Compute,East,750.0,28806.63
2025-01-03,Pharmacy,Network,North,643.0,2442.34
2025-01-03,Toys,Storage,West,1012.0,6200.56
2025-01-03,Toys,CDN,Central,667.0,3361.6
2025-01-03,Beauty,Storage,South,922.0,6359.21
2025-01-03,Home,Storage,Central,437.0,2646.59
2025-01-03,Home,Database,North,587.0,34158.09
2025-01-03,Electronics,Logging,South,393.0,1258.55
2025-01-03,Home,Monitoring,North,1005.0,8134.32
2025-01-03,Toys,Storage,West,481.0,3054.21
2025-01-03,Fashion,Storage,East,341.0,2052.71
2025-01-03,Electronics,CDN,Central,737.0,3579.8
2025-01-03,Toys,CDN,North,1010.0,4800.88
2025-01-03,Electronics,Logging,Central,608.0,1747.83
2025-01-03,Toys,Database,Central,360.0,18931.75
2025-01-03,Pharmacy,Network,West,514.0,1822.48
2025-01-03,Toys,AI/ML,West,478.0,107180.97
2025-01-03,Pharmacy,Storage,Central,2435.0,14002.36
2025-01-03,Sports,Logging,North,537.0,1637.54
2025-01-03,Beauty,Network,East,498.0,1778.47
2025-01-03,Electronics,Storage,Central,768.0,4132.36
2025-01-03,Grocery,Logging,West,822.0,2358.42
2025-01-03,Beauty,CDN,South,537.0,2840.1
2025-01-03,Fashion,Logging,Central,771.0,2450.27
2025-01-03,Toys,CDN,Central,917.0,4106.74
2025-01-03,Toys,AI/ML,North,190.0,44072.56
2025-01-03,Sports,Database,South,337.0,20217.84
2025-01-03,Toys,Database,South,1760.0,103033.57
2025-01-03,Pharmacy,Logging,East,1714.0,5250.99
2025-01-03,Home,Network,West,647.0,2865.66
2025-01-03,Beauty,AI/ML,North,1193.0,262955.27
2025-01-03,Home,Network,North,524.0,2327.61
2025-01-03,Home,Network,East,2199.0,9577.73
2025-01-03,Grocery,AI/ML,West,753.0,164366.71
2025-01-03,Home,Database,East,829.0,46313.11
2025-01-03,Electronics,CDN,South,945.0,4879.77
2025-01-03,Electronics,Logging,East,1106.0,3326.67
2025-01-03,Grocery,Logging,Central,901.0,2741.76
2025-01-03,Sports,Database,South,1045.0,55993.58
2025-01-03,Electronics,CDN,South,795.0,3935.03
2025-01-03,Pharmacy,Network,South,424.0,1925.93
2025-01-03,Home,Compute,East,441.0,14892.54
2025-01-03,Toys,AI/ML,North,744.0,181730.49
2025-01-03,Sports,Logging,East,1200.0,3570.23
2025-01-03,Fashion,Logging,North,1526.0,4475.96
2025-01-03,Pharmacy,CDN,East,1197.0,5856.98
2025-01-03,Sports,Monitoring,South,418.0,3059.67
2025-01-03,Electronics,Storage,North,1018.0,6488.37
2025-01-03,Pharmacy,Network,Central,883.0,2989.34
2025-01-03,Sports,Monitoring,Central,1365.0,10570.46
2025-01-03,Sports,Compute,East,1396.0,45530.59
2025-01-03,Beauty,Storage,West,2364.0,11678.2
2025-01-03,Beauty,AI/ML,Central,628.0,126948.45
2025-01-03,Sports,CDN,South,807.0,4683.59
2025-01-03,Toys,AI/ML,Central,573.0,125525.26
2025-01-03,Beauty,Compute,South,1130.0,40941.0
2025-01-03,Sports,Network,South,443.0,1612.96
2025-01-03,Grocery,Database,Central,1180.0,66116.16
2025-01-03,Grocery,Compute,West,1298.0,41378.49
2025-01-04,Toys,CDN,South,676.0,3207.1
2025-01-04,Toys,Compute,Central,1167.0,40882.24
2025-01-04,Beauty,Monitoring,West,366.0,2770.93
2025-01-04,Pharmacy,Logging,Central,3518.0,10259.19
2025-01-04,Beauty,AI/ML,North,896.0,182209.64
2025-01-04,Grocery,Storage,Central,307.0,1875.51
2025-01-04,Electronics,Monitoring,West,482.0,3400.07
2025-01-04,Sports,Logging,East,578.0,1702.42
2025-01-04,Beauty,CDN,South,1316.0,6203.77
2025-01-04,Toys,AI/ML,West,994.0,200620.03
2025-01-04,Pharmacy,Storage,East,760.0,4606.7
2025-01-04,Fashion,Logging,East,602.0,1920.0
2025-01-04,Pharmacy,Compute,West,211.0,5917.14
2025-01-04,Home,CDN,West,3158.0,15929.4
2025-01-04,Home,AI/ML,East,914.0,214891.59
2025-01-04,Beauty,AI/ML,South,735.0,173676.61
2025-01-04,Sports,Storage,South,387.0,2555.28
2025-01-04,Electronics,Network,East,325.0,1330.9
2025-01-04,Toys,Logging,Central,362.0,1041.56
2025-01-04,Home,Monitoring,North,1095.0,9341.47
2025-01-04,Beauty,Database,North,495.0,28008.18
2025-01-04,Beauty,CDN,North,651.0,3406.1
2025-01-04,Home,Logging,South,967.0,2937.91
2025-01-04,Toys,AI/ML,Central,695.0,136503.4
2025-01-04,Fashion,Storage,South,531.0,3292.15
2025-01-04,Sports,Network,Central,1697.0,6789.92
2025-01-04,Beauty,Network,South,718.0,2812.23
2025-01-04,Home,Database,Central,628.0,35634.29
2025-01-04,Electronics,Monitoring,North,808.0,6952.95
2025-01-04,Home,Monitoring,West,597.0,4296.85
2025-01-04,Beauty,Storage,East,300.0,1689.82
2025-01-04,Beauty,Monitoring,South,981.0,6210.63
2025-01-04,Beauty,Logging,Central,591.0,1368.6
2025-01-04,Home,Logging,North,1516.0,4734.75
2025-01-04,Electronics,Storage,West,680.0,3769.47
2025-01-04,Grocery,Storage,Central,495.0,3013.79
2025-01-04,Electronics,Storage,North,1216.0,6629.23
2025-01-04,Grocery,CDN,West,1248.0,6652.39
2025-01-04,Pharmacy,AI/ML,North,589.0,114817.51
2025-01-04,Home,Monitoring,South,3572.0,27802.73
2025-01-04,Home,Logging,East,909.0,3297.97
2025-01-04,Pharmacy,Network,Central,1548.0,5589.51
2025-01-04,Electronics,Monitoring,East,555.0,4514.17
2025-01-04,Fashion,Compute,South,346.0,10954.88
2025-01-04,Grocery,Compute,Central,415.0,12871.34
2025-01-04,Fashion,CDN,South,947.0,4639.34
2025-01-04,Grocery,CDN,North,314.0,1655.28
2025-01-04,Sports,Compute,East,588.0,16659.59
2025-01-04,Pharmacy,Network,Central,911.0,3682.59
2025-01-04,Sports,AI/ML,North,806.0,178558.35
2025-01-04,Pharmacy,Storage,North,1297.0,7938.15
2025-01-04,Toys,AI/ML,Central,520.0,111418.12
2025-01-04,Toys,CDN,North,386.0,2127.97
2025-01-04,Electronics,Storage,South,2132.0,14899.61
2025-01-04,Home,Compute,North,769.0,25095.78
2025-01-04,Beauty,Compute,East,725.0,23378.57
2025-01-04,Toys,Compute,South,727.0,22976.03
2025-01-04,Fashion,Network,South,955.0,3964.19
2025-01-04,Toys,Logging,West,1591.0,4288.53
2025-01-04,Beauty,Storage,South,107.0,678.03
2025-01-04,Electronics,Monitoring,South,609.0,4391.43
2025-01-04,Electronics,Monitoring,West,372.0,3003.18
2025-01-04,Sports,AI/ML,Central,1559.0,388927.47
2025-01-04,Beauty,CDN,North,1144.0,6739.86
2025-01-04,Fashion,AI/ML,West,415.0,92393.0
2025-01-04,Grocery,CDN,South,429.0,1874.52
2025-01-04,Fashion,AI/ML,Central,526.0,126443.25
2025-01-04,Electronics,CDN,South,1125.0,5660.88
2025-01-04,Grocery,Logging,West,618.0,1608.09
2025-01-04,Fashion,Logging,North,750.0,2433.47
2025-01-04,Electronics,Monitoring,North,377.0,3307.55
2025-01-04,Beauty,Network,Central,1230.0,5033.9
2025-01-04,Toys,Database,West,764.0,42657.84
2025-01-04,Beauty,CDN,West,442.0,2168.33
2025-01-04,Grocery,CDN,South,1318.0,7623.07
2025-01-04,Home,Storage,East,245.0,1516.72
2025-01-04,Pharmacy,Monitoring,North,460.0,3931.74
2025-01-04,Pharmacy,Monitoring,North,940.0,7508.19
2025-01-04,Pharmacy,Logging,North,579.0,1733.46
